"id","loan_amount","annual_income","issue_date","dti","int_rate","grade","sub_grade","term_months","total_payment","profit","loan_status"
393852,"9000","98736","2021-05-09","8.12","11.89","B","B4",36,"1045","-7955","Charged Off"
725534,"1850","48000","2021-04-11","5.10","10.74","B","B4",36,"1655","-195","Charged Off"
428387,"4200","27852","2021-07-09","10.21","12.84","C","C2",36,"282","-3918","Charged Off"
783561,"6000","48000","2021-06-11","25.85","7.49","A","A4",36,"1575","-4425","Charged Off"
969474,"7200","30000","2021-10-11","18.72","8.90","A","A5",36,"5845","-1355","Charged Off"
773111,"2400","22800","2021-06-11","5.26","8.49","A","A5",36,"2278","-122","Charged Off"
472634,"7500","12720","2021-12-09","0.00","7.05","A","A1",36,"2073","-5427","Charged Off"
494891,"5550","31000","2021-03-10","1.59","11.36","B","B5",36,"2083","-3467","Charged Off"
458797,"22000","89650","2021-11-09","0.56","11.48","B","B2",36,"15424","-6576","Charged Off"
743690,"10000","45000","2021-05-11","14.64","11.99","B","B5",36,"4553","-5447","Charged Off"
384963,"8000","39996","2021-03-09","22.98","10.95","B","B1",36,"6197","-1803","Charged Off"
508426,"5000","49800","2021-05-10","17.40","10.99","B","B4",36,"3110","-1890","Charged Off"
402318,"3200","15000","2021-05-09","16.88","12.21","B","B5",36,"3140","-60","Charged Off"
359401,"6000","48000","2021-10-08","17.53","12.41","C","C3",36,"5104","-896","Charged Off"
290803,"3000","37440","2021-03-08","7.72","11.34","C","C2",36,"2798","-202","Charged Off"
847836,"11200","105000","2021-08-11","13.50","13.99","C","C3",36,"8037","-3163","Charged Off"
362098,"4000","15000","2021-11-08","14.00","13.67","D","D2",36,"2685","-1315","Charged Off"
1044994,"3000","59100","2021-12-11","12.87","16.77","D","D2",36,"2772","-228","Charged Off"
734343,"6000","126000","2021-04-11","15.29","10.00","B","B2",36,"5796","-204","Charged Off"
126392,"10000","173000","2021-09-07","0.72","8.07","A","A4",36,"10435","435","Fully Paid"
269289,"10000","60000","2021-03-08","8.94","8.63","A","A5",36,"11340","1340","Fully Paid"
266282,"8000","40000","2021-02-08","18.72","9.76","B","B2",36,"9149","1149","Fully Paid"
243406,"6000","200000","2021-02-08","4.84","9.76","B","B2",36,"6945","945","Fully Paid"
226154,"5000","72000","2021-01-08","22.57","13.93","E","E1",36,"6146","1146","Fully Paid"
253727,"4500","10000","2021-02-08","0.00","8.63","A","A5",36,"5096","596","Fully Paid"
196380,"11000","62000","2021-01-08","14.07","8.07","A","A4",36,"12247","1247","Fully Paid"
206181,"3500","28800","2021-01-08","0.00","7.12","A","A1",36,"3863","363","Fully Paid"
219070,"6000","50000","2021-02-08","5.06","10.46","B","B5",36,"6982","982","Fully Paid"
219000,"5500","37000","2021-01-08","16.74","9.20","B","B1",36,"6320","820","Fully Paid"
281384,"3500","54263","2021-03-08","12.38","11.66","C","C3",36,"4164","664","Fully Paid"
120525,"4000","18000","2021-08-07","18.00","10.91","C","C3",36,"4708","708","Fully Paid"
253987,"3000","41000","2021-02-08","16.92","11.03","C","C1",36,"3498","498","Fully Paid"
450292,"4400","85000","2021-10-09","2.39","7.40","A","A2",36,"4920","520","Fully Paid"
401775,"8500","28500","2021-05-09","2.23","7.68","A","A2",36,"9544","1044","Fully Paid"
373881,"5000","40308","2021-01-09","5.78","7.68","A","A2",36,"5422","422","Fully Paid"
973780,"7000","149400","2021-10-11","9.94","6.62","A","A2",36,"7737","737","Fully Paid"
750759,"2000","54000","2021-06-11","11.29","5.99","A","A2",36,"2190","190","Fully Paid"
745149,"2400","38400","2021-05-11","3.19","6.99","A","A3",36,"2667","267","Fully Paid"
775926,"4800","60000","2021-06-11","2.42","7.49","A","A4",36,"5374","574","Fully Paid"
651079,"4000","58000","2021-01-11","21.27","7.29","A","A4",36,"4466","466","Fully Paid"
627209,"8000","31000","2021-12-10","2.83","5.42","A","A1",36,"8686","686","Fully Paid"
781516,"3000","33600","2021-06-11","1.61","5.42","A","A1",36,"3014","14","Fully Paid"
971771,"8000","64320","2021-10-11","2.50","6.03","A","A1",36,"8765","765","Fully Paid"
796355,"5000","79200","2021-06-11","2.18","5.42","A","A1",36,"5429","429","Fully Paid"
868443,"3200","63996","2021-09-11","6.51","5.42","A","A1",36,"3468","268","Fully Paid"
683816,"7400","72000","2021-03-11","20.75","5.42","A","A1",36,"7556","156","Fully Paid"
1023029,"5000","72000","2021-11-11","17.82","6.03","A","A1",36,"5478","478","Fully Paid"
886517,"5000","41784","2021-09-11","18.72","6.03","A","A1",36,"5478","478","Fully Paid"
1001581,"6000","96000","2021-10-11","23.80","6.03","A","A1",36,"6493","493","Fully Paid"
1004019,"6000","54000","2021-10-11","24.07","6.03","A","A1",36,"6569","569","Fully Paid"
675716,"9000","36000","2021-02-11","22.93","5.42","A","A1",36,"9772","772","Fully Paid"
887254,"7200","114000","2021-10-11","16.58","6.03","A","A1",36,"7889","689","Fully Paid"
865714,"5650","48000","2021-09-11","17.32","5.42","A","A1",36,"6067","417","Fully Paid"
770503,"6000","39600","2021-06-11","14.06","5.99","A","A2",36,"6194","194","Fully Paid"
548151,"3500","108000","2021-07-10","19.76","6.76","A","A2",36,"3877","377","Fully Paid"
542312,"4000","57431","2021-07-10","6.18","6.76","A","A2",36,"4431","431","Fully Paid"
1008323,"6000","32468.8","2021-11-11","29.35","7.51","A","A3",36,"6714","714","Fully Paid"
457893,"7000","26000","2021-11-09","4.29","7.74","A","A3",36,"7867","867","Fully Paid"
451579,"5000","75000","2021-10-09","2.34","7.74","A","A3",36,"5584","584","Fully Paid"
1027822,"1800","58000","2021-11-11","26.92","7.51","A","A3",36,"2013","213","Fully Paid"
700052,"10000","50000","2021-04-11","20.30","6.92","A","A3",36,"11103","1103","Fully Paid"
661459,"6500","48000","2021-02-11","19.88","7.29","A","A4",36,"7257","757","Fully Paid"
768140,"5000","73000","2021-05-11","14.33","7.49","A","A4",36,"5312","312","Fully Paid"
823069,"8000","68000","2021-07-11","2.86","7.49","A","A4",36,"8615","615","Fully Paid"
761499,"8000","112992","2021-05-11","18.25","7.49","A","A4",36,"8957","957","Fully Paid"
390651,"8000","135000","2021-04-09","5.18","9.32","A","A4",36,"9201","1201","Fully Paid"
483645,"6000","75181","2021-02-10","18.31","7.51","A","A4",36,"6720","720","Fully Paid"
866551,"3000","110400","2021-09-11","19.16","7.49","A","A4",36,"3359","359","Fully Paid"
394295,"15000","48000","2021-04-09","12.57","9.63","A","A5",36,"17331","2331","Fully Paid"
472637,"8700","54000","2021-12-09","2.67","7.05","A","A1",36,"9538","838","Fully Paid"
732697,"5600","85000","2021-04-11","4.00","5.42","A","A1",36,"6080","480","Fully Paid"
628369,"1800","36000","2021-12-10","19.97","6.17","A","A3",36,"1977","177","Fully Paid"
842807,"7000","36000","2021-08-11","18.83","7.49","A","A4",36,"7838","838","Fully Paid"
564180,"4600","120000","2021-08-10","5.20","6.39","A","A1",36,"5068","468","Fully Paid"
464609,"2000","60000","2021-12-09","10.04","7.40","A","A2",36,"2036","36","Fully Paid"
1050642,"3800","62352","2021-12-11","12.07","6.62","A","A2",36,"4187","387","Fully Paid"
710680,"5000","54000","2021-03-11","11.29","5.79","A","A2",36,"5459","459","Fully Paid"
390765,"10000","60000","2021-04-09","0.36","8.00","A","A3",36,"10513","513","Fully Paid"
1026512,"3000","66000","2021-11-11","1.18","6.03","A","A1",36,"3287","287","Fully Paid"
471543,"16000","241875","2021-12-09","6.40","7.05","A","A1",36,"17370","1370","Fully Paid"
873529,"1300","24000","2021-09-11","6.70","5.42","A","A1",36,"1411","111","Fully Paid"
550334,"4500","96000","2021-07-10","8.29","6.76","A","A2",36,"4613","113","Fully Paid"
361816,"5000","90000","2021-11-08","4.28","8.00","A","A3",36,"5641","641","Fully Paid"
399481,"9000","81804","2021-05-09","8.98","8.00","A","A3",36,"10153","1153","Fully Paid"
446873,"2000","28880","2021-10-09","15.96","8.59","A","A4",36,"2260","260","Fully Paid"
887905,"4000","51000","2021-09-11","17.53","6.03","A","A1",36,"4383","383","Fully Paid"
834628,"3500","49000","2021-08-11","5.85","5.42","A","A1",36,"3800","300","Fully Paid"
803977,"6000","42000","2021-07-11","4.40","5.42","A","A1",36,"6515","515","Fully Paid"
460501,"5000","50000","2021-11-09","3.17","7.40","A","A2",36,"5398","398","Fully Paid"
500124,"8000","85000","2021-04-10","3.29","7.14","A","A3",36,"8906","906","Fully Paid"
421959,"3000","50000","2021-07-09","8.33","9.32","A","A4",36,"3189","189","Fully Paid"
1040942,"6000","139200","2021-12-11","20.09","7.90","A","A4",36,"6395","395","Fully Paid"
694067,"4000","57600","2021-03-11","7.25","5.42","A","A1",36,"4343","343","Fully Paid"
720394,"5600","37459","2021-04-11","0.61","6.92","A","A3",36,"6130","530","Fully Paid"
360506,"4000","58500","2021-11-08","5.07","8.00","A","A3",36,"4512","512","Fully Paid"
673841,"3050","60000","2021-02-11","1.40","7.29","A","A4",36,"3170","120","Fully Paid"
667916,"6000","65000","2021-02-11","14.29","5.42","A","A1",36,"6515","515","Fully Paid"
708650,"5000","72000","2021-03-11","2.17","6.92","A","A3",36,"5543","543","Fully Paid"
608757,"15000","123000","2021-11-10","23.40","6.91","A","A5",36,"10102","-4898","Fully Paid"
645985,"7800","110000","2021-01-11","5.24","5.42","A","A1",36,"8388","588","Fully Paid"
784380,"4500","48000","2021-06-11","10.90","5.42","A","A1",36,"4680","180","Fully Paid"
863309,"5900","77040","2021-09-11","20.50","5.99","A","A2",36,"6461","561","Fully Paid"
831388,"2000","60000","2021-08-11","27.12","7.49","A","A4",36,"2239","239","Fully Paid"
726906,"3000","40560","2021-04-11","7.37","7.29","A","A4",36,"3292","292","Fully Paid"
749594,"3600","60000","2021-05-11","15.00","5.42","A","A1",36,"3909","309","Fully Paid"
1039551,"5500","54960","2021-11-11","10.85","6.03","A","A1",36,"6026","526","Fully Paid"
725132,"5900","84000","2021-04-11","17.34","7.66","A","A5",36,"6534","634","Fully Paid"
759237,"4000","65000","2021-05-11","19.27","5.42","A","A1",36,"4343","343","Fully Paid"
388170,"12000","50004","2021-03-09","10.10","7.37","A","A1",36,"13412","1412","Fully Paid"
455641,"10000","52000","2021-02-10","9.09","7.88","A","A5",36,"11277","1277","Fully Paid"
1031003,"4000","115000","2021-11-11","2.71","6.03","A","A1",36,"4383","383","Fully Paid"
396521,"8000","99996","2021-05-09","4.32","8.00","A","A3",36,"8551","551","Fully Paid"
808963,"5000","60000","2021-07-11","20.96","5.42","A","A1",36,"5429","429","Fully Paid"
1044077,"3000","45000","2021-11-11","16.32","6.62","A","A2",36,"3316","316","Fully Paid"
697609,"4000","40000","2021-03-11","10.41","7.29","A","A4",36,"4465","465","Fully Paid"
757255,"8000","55000","2021-06-11","16.47","8.49","A","A5",36,"9090","1090","Fully Paid"
713504,"2100","72000","2021-04-11","18.87","7.66","A","A5",36,"2357","257","Fully Paid"
472636,"8000","75000","2021-01-10","1.73","7.05","A","A1",36,"8900","900","Fully Paid"
764852,"6000","85000","2021-05-11","4.76","5.42","A","A1",36,"6515","515","Fully Paid"
552448,"4400","70000","2021-07-10","10.10","6.76","A","A2",36,"4858","458","Fully Paid"
668787,"4975","48000","2021-02-11","10.40","5.79","A","A2",36,"5432","457","Fully Paid"
508736,"2100","73400","2021-04-10","2.81","6.76","A","A2",36,"2306","206","Fully Paid"
719399,"4800","68800","2021-04-11","13.87","5.79","A","A2",36,"4930","130","Fully Paid"
707303,"4000","40000","2021-03-11","8.85","5.79","A","A2",36,"4299","299","Fully Paid"
788944,"3000","65500","2021-06-11","22.55","5.99","A","A2",36,"3285","285","Fully Paid"
597469,"1925","52800","2021-10-10","15.27","6.76","A","A2",36,"2013","88","Fully Paid"
987462,"8000","60000","2021-10-11","8.58","7.51","A","A3",36,"8936","936","Fully Paid"
661158,"5000","105000","2021-01-11","5.14","5.42","A","A1",36,"5429","429","Fully Paid"
1010097,"1500","60000","2021-11-11","14.46","6.03","A","A1",36,"1529","29","Fully Paid"
484323,"4800","52000","2021-06-10","14.52","6.39","A","A1",36,"5288","488","Fully Paid"
489841,"11000","69000","2021-03-10","22.97","7.88","A","A5",36,"11796","796","Fully Paid"
1022407,"6000","76800","2021-11-11","10.34","6.62","A","A2",36,"6514","514","Fully Paid"
1027067,"7750","70000","2021-11-11","20.38","6.62","A","A2",36,"8566","816","Fully Paid"
466091,"4500","60000","2021-12-09","12.76","7.40","A","A2",36,"5032","532","Fully Paid"
737488,"6000","99400","2021-04-11","8.90","6.92","A","A3",36,"6655","655","Fully Paid"
839671,"9600","96000","2021-08-11","1.60","5.99","A","A2",36,"10512","912","Fully Paid"
644846,"8000","95000","2021-01-11","7.28","5.79","A","A2",36,"8734","734","Fully Paid"
511422,"1500","45000","2021-05-10","4.80","7.14","A","A3",36,"1671","171","Fully Paid"
840046,"2000","60000","2021-08-11","1.88","5.42","A","A1",36,"2171","171","Fully Paid"
470186,"16000","72000","2021-01-10","21.52","7.40","A","A2",36,"17890","1890","Fully Paid"
810774,"5000","80000","2021-07-11","14.52","6.99","A","A3",36,"5557","557","Fully Paid"
591656,"6000","38400","2021-10-10","10.72","7.51","A","A4",36,"6641","641","Fully Paid"
489630,"3900","52000","2021-03-10","10.48","7.51","A","A4",36,"4168","268","Fully Paid"
504878,"11000","100000","2021-04-10","8.03","7.51","A","A4",36,"12106","1106","Fully Paid"
638309,"6000","70000","2021-12-10","8.07","5.42","A","A1",36,"6515","515","Fully Paid"
636676,"6000","51000","2021-12-10","1.37","5.79","A","A2",36,"6551","551","Fully Paid"
818975,"4000","41664","2021-07-11","15.29","5.99","A","A2",36,"4254","254","Fully Paid"
608997,"12975","97000","2021-11-10","10.18","6.91","A","A5",36,"8921","-4054","Fully Paid"
775213,"3000","68000","2021-06-11","1.45","5.42","A","A1",36,"3257","257","Fully Paid"
446193,"4000","52700","2021-10-09","17.24","7.40","A","A2",36,"4472","472","Fully Paid"
828138,"3000","55000","2021-07-11","14.62","5.99","A","A2",36,"3071","71","Fully Paid"
444464,"5950","45000","2021-09-09","11.39","7.74","A","A3",36,"5989","39","Fully Paid"
481657,"9600","58000","2021-02-10","9.89","7.51","A","A4",36,"10669","1069","Fully Paid"
997561,"5000","80796","2021-10-11","10.19","7.51","A","A3",36,"5061","61","Fully Paid"
891766,"5100","30000","2021-09-11","9.20","7.90","A","A4",36,"5734","634","Fully Paid"
749248,"7000","73440","2021-05-11","5.59","6.99","A","A3",36,"7670","670","Fully Paid"
353365,"3000","26796","2021-08-08","6.58","8.32","A","A4",36,"2834","-166","Fully Paid"
1032953,"3500","47500","2021-11-11","19.76","8.90","A","A5",36,"3526","26","Fully Paid"
442982,"7000","79000","2021-09-09","3.17","7.74","A","A3",36,"7724","724","Fully Paid"
888206,"5200","49536","2021-09-11","9.08","6.62","A","A2",36,"5229","29","Fully Paid"
793476,"4200","96000","2021-06-11","14.65","5.99","A","A2",36,"4430","230","Fully Paid"
777143,"1200","69600","2021-06-11","13.10","6.99","A","A3",36,"1305","105","Fully Paid"
978335,"3600","84554.16","2021-10-11","15.24","6.03","A","A1",36,"3768","168","Fully Paid"
664660,"3000","90000","2021-02-11","10.35","5.42","A","A1",36,"3099","99","Fully Paid"
510217,"4000","85000","2021-05-10","12.76","6.76","A","A2",36,"4431","431","Fully Paid"
578534,"4650","35100","2021-09-10","15.93","7.88","A","A5",36,"5237","587","Fully Paid"
795748,"1450","45600","2021-06-11","16.05","8.49","A","A5",36,"1647","197","Fully Paid"
660364,"2400","81504","2021-01-11","24.88","6.92","A","A3",36,"2572","172","Fully Paid"
869076,"6000","97000","2021-09-11","8.78","7.49","A","A4",36,"6527","527","Fully Paid"
537890,"7000","57000","2021-06-10","11.66","7.14","A","A3",36,"7699","699","Fully Paid"
441568,"8000","102996","2021-09-09","15.47","7.74","A","A3",36,"8934","934","Fully Paid"
784597,"7500","60000","2021-06-11","2.60","5.99","A","A2",36,"7911","411","Fully Paid"
617174,"4200","66560","2021-11-10","7.57","5.79","A","A2",36,"4394","194","Fully Paid"
1004390,"5000","124800","2021-10-11","11.24","6.62","A","A2",36,"5182","182","Fully Paid"
594970,"6000","120000","2021-10-10","21.10","6.76","A","A2",36,"6416","416","Fully Paid"
577896,"5500","97200","2021-09-10","8.77","7.51","A","A4",36,"6138","638","Fully Paid"
427621,"4500","100000","2021-08-09","9.60","8.94","A","A5",36,"5125","625","Fully Paid"
607161,"7200","60000","2021-11-10","3.98","5.79","A","A2",36,"6493","-707","Fully Paid"
1050591,"4200","60000","2021-12-11","19.84","6.62","A","A2",36,"4642","442","Fully Paid"
784065,"3600","44000","2021-06-11","9.82","6.99","A","A3",36,"4001","401","Fully Paid"
973462,"9600","54000","2021-10-11","22.27","6.62","A","A2",36,"10371","771","Fully Paid"
375143,"5000","105000","2021-01-09","14.09","7.68","A","A2",36,"5614","614","Fully Paid"
737546,"3000","71040","2021-04-11","7.64","5.79","A","A2",36,"3117","117","Fully Paid"
571927,"7200","22000","2021-08-10","13.09","7.14","A","A3",36,"8020","820","Fully Paid"
555691,"8500","66000","2021-07-10","11.49","7.51","A","A4",36,"9520","1020","Fully Paid"
563254,"4000","88000","2021-08-10","0.68","7.14","A","A3",36,"4117","117","Fully Paid"
613392,"3500","90000","2021-11-10","9.13","9.25","B","B2",36,"4022","522","Fully Paid"
582666,"5100","60000","2021-09-10","22.88","10.75","B","B2",36,"5989","889","Fully Paid"
604494,"9600","60000","2021-10-10","7.64","9.99","B","B4",36,"10687","1087","Fully Paid"
768960,"4500","65000","2021-05-11","7.62","11.99","B","B5",36,"5316","816","Fully Paid"
626313,"4000","40000","2021-12-10","19.29","10.36","B","B5",36,"4674","674","Fully Paid"
485006,"11200","131000","2021-03-10","21.83","10.25","B","B2",36,"11655","455","Fully Paid"
847572,"9000","57600","2021-08-11","17.31","10.99","B","B3",36,"10606","1606","Fully Paid"
736278,"4200","96000","2021-04-11","24.93","10.74","B","B4",36,"4931","731","Fully Paid"
478569,"3600","31200","2021-01-10","11.23","11.48","B","B2",36,"4256","656","Fully Paid"
776333,"5000","76800","2021-06-11","17.75","11.49","B","B4",36,"5935","935","Fully Paid"
694032,"3000","75000","2021-03-11","17.04","11.11","B","B5",36,"3157","157","Fully Paid"
787055,"3250","39000","2021-06-11","2.31","10.99","B","B3",36,"3443","193","Fully Paid"
431130,"3000","65200","2021-07-09","17.21","11.26","B","B2",36,"3430","430","Fully Paid"
1004136,"5000","83000","2021-10-11","18.65","9.91","B","B1",36,"5800","800","Fully Paid"
389965,"12000","62851","2021-10-09","9.03","12.18","B","B4",36,"14275","2275","Fully Paid"
676230,"15000","54996","2021-03-11","5.39","10.00","B","B2",36,"17424","2424","Fully Paid"
788986,"3050","56160","2021-06-11","5.49","10.59","B","B2",36,"3225","175","Fully Paid"
494363,"3300","45000","2021-03-10","11.25","10.99","B","B4",36,"3712","412","Fully Paid"
561280,"5600","120000","2021-08-10","18.96","10.75","B","B2",36,"6340","740","Fully Paid"
636721,"12000","99750","2021-12-10","7.29","9.62","B","B3",36,"13631","1631","Fully Paid"
1037682,"4800","108000","2021-12-11","9.64","12.42","B","B4",36,"5774","974","Fully Paid"
611873,"3800","48000","2021-11-10","24.02","9.99","B","B4",36,"4414","614","Fully Paid"
554118,"1700","90000","2021-07-10","15.32","10.75","B","B2",36,"1970","270","Fully Paid"
781298,"8500","70000","2021-06-11","23.09","11.14","B","B2",36,"10038","1538","Fully Paid"
652490,"5525","46800","2021-01-11","14.59","11.11","B","B5",36,"5577","52","Fully Paid"
707827,"12000","150000","2021-03-11","4.65","10.37","B","B3",36,"12843","843","Fully Paid"
372096,"2500","120000","2021-01-09","14.51","11.58","B","B3",36,"2975","475","Fully Paid"
831545,"6000","100000","2021-08-11","12.68","9.99","B","B1",36,"6699","699","Fully Paid"
485338,"9000","41000","2021-02-10","10.60","9.88","B","B1",36,"10437","1437","Fully Paid"
497757,"7500","45000","2021-04-10","10.00","10.62","B","B3",36,"8792","1292","Fully Paid"
296489,"18000","99000","2021-03-08","8.86","9.76","B","B2",36,"21247","3247","Fully Paid"
456763,"3500","29000","2021-11-09","6.91","12.53","B","B5",36,"3880","380","Fully Paid"
784904,"6000","105000","2021-06-11","20.58","9.99","B","B1",36,"6366","366","Fully Paid"
882693,"1750","78000","2021-09-11","21.28","10.65","B","B2",36,"2052","302","Fully Paid"
361726,"5375","92904","2021-11-08","19.80","10.51","B","B2",36,"5988","613","Fully Paid"
444554,"9500","150000","2021-10-09","2.50","12.87","C","C1",36,"11012","1512","Fully Paid"
512859,"6000","80000","2021-05-10","17.61","12.73","C","C1",36,"7251","1251","Fully Paid"
696646,"4000","57600","2021-03-11","14.29","13.80","C","C4",36,"4908","908","Fully Paid"
536605,"4800","46140","2021-06-10","11.65","14.72","C","C5",36,"5499","699","Fully Paid"
427684,"3600","15000","2021-07-09","15.28","13.47","C","C4",36,"4242","642","Fully Paid"
735694,"7600","144000","2021-05-11","9.61","15.23","C","C5",36,"9515","1915","Fully Paid"
458516,"10000","100000","2021-12-09","8.95","14.26","C","C5",36,"12350","2350","Fully Paid"
732431,"2500","44400","2021-04-11","4.92","12.68","C","C1",36,"2829","329","Fully Paid"
495428,"6400","53000","2021-03-10","19.15","13.11","C","C2",36,"7438","1038","Fully Paid"
737746,"5000","19200","2021-04-11","14.06","14.17","C","C5",36,"6040","1040","Fully Paid"
970187,"5600","48000","2021-09-11","11.80","15.96","C","C5",36,"6969","1369","Fully Paid"
1008709,"4000","103000","2021-11-11","17.32","13.49","C","C1",36,"4871","871","Fully Paid"
364302,"6000","130000","2021-12-08","11.06","13.04","C","C5",36,"7282","1282","Fully Paid"
793800,"3600","126000","2021-06-11","12.76","15.99","D","D2",36,"4556","956","Fully Paid"
572542,"4000","50000","2021-08-10","15.86","15.95","D","D4",36,"4995","995","Fully Paid"
510506,"3000","42000","2021-05-10","11.00","15.33","D","D3",36,"3647","647","Fully Paid"
366128,"4000","55000","2021-12-08","6.76","9.32","A","A4",36,"4059","59","Fully Paid"
549126,"4000","63600","2021-07-10","22.09","6.76","A","A2",36,"4424","424","Fully Paid"
472180,"16000","200000","2021-01-10","6.94","7.05","A","A1",36,"17719","1719","Fully Paid"
864280,"2500","48000","2021-08-11","9.20","5.42","A","A1",36,"2512","12","Fully Paid"
986915,"3000","53000","2021-10-11","3.35","7.51","A","A3",36,"3360","360","Fully Paid"
664738,"2000","42300","2021-02-11","14.47","6.92","A","A3",36,"2142","142","Fully Paid"
361916,"4800","75000","2021-11-08","17.81","8.00","A","A3",36,"4832","32","Fully Paid"
771076,"4800","28000","2021-06-11","13.93","7.49","A","A4",36,"5374","574","Fully Paid"
806215,"7000","42000","2021-07-11","1.77","8.49","A","A5",36,"7145","145","Fully Paid"
600776,"3000","48000","2021-10-10","11.15","5.79","A","A2",36,"3263","263","Fully Paid"
743687,"5400","33600","2021-05-11","13.68","5.42","A","A1",36,"5856","456","Fully Paid"
588608,"3500","65000","2021-10-10","24.94","6.76","A","A2",36,"3742","242","Fully Paid"
880239,"6000","19200","2021-09-11","2.25","6.03","A","A1",36,"6422","422","Fully Paid"
701662,"5375","14400","2021-03-11","15.17","5.79","A","A2",36,"5868","493","Fully Paid"
620935,"9900","39600","2021-11-10","8.06","6.54","A","A4",36,"10930","1030","Fully Paid"
1030418,"2500","48000","2021-11-11","7.75","6.03","A","A1",36,"2717","217","Fully Paid"
778086,"1000","41000","2021-06-11","8.08","6.99","A","A3",36,"1055","55","Fully Paid"
406033,"6000","40000","2021-05-09","13.23","8.00","A","A3",36,"6739","739","Fully Paid"
851757,"5000","40000","2021-08-11","11.61","8.49","A","A5",36,"5414","414","Fully Paid"
386541,"10400","48000","2021-03-09","12.07","7.37","A","A1",36,"11623","1223","Fully Paid"
680433,"2500","31577","2021-02-11","8.21","6.92","A","A3",36,"2736","236","Fully Paid"
381104,"1800","29280","2021-02-09","7.25","7.37","A","A1",36,"2012","212","Fully Paid"
469988,"16000","109000","2021-12-09","5.80","7.05","A","A1",36,"17738","1738","Fully Paid"
475108,"7500","74400","2021-01-10","4.26","7.05","A","A1",36,"8014","514","Fully Paid"
836828,"7500","50000","2021-08-11","21.02","5.99","A","A2",36,"8163","663","Fully Paid"
687289,"7000","102000","2021-03-11","12.42","6.92","A","A3",36,"7567","567","Fully Paid"
